"No.","Time","Source","Destination","Protocol","Length","Info"
"87374","19.187757","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1856312 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87375","19.187803","2.1.246.45","222.29.98.62","TCP","1516","51020  >  5201 [ACK] Seq=1 Ack=1 Win=101 Len=1374 TSval=1455333973 TSecr=1915938703"
"87480","19.193742","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1949744 Ack=1 Win=29312 Len=1374 TSval=1455333980 TSecr=1915938712"
"87482","19.193834","106.37.244.173","255.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1 Ack=1 Win=229 Len=1374"
"87514","19.197104","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [PSH, ACK] Seq=1942874 Ack=1 Win=29312 Len=1374 TSval=1455333979 TSecr=1915938708"
"87516","19.197279","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1953866 Ack=1 Win=29312 Len=1374"
"87519","19.197490","10.1.230.45","222.29.98.42","TCP","1516","51020  >  5201 [ACK] Seq=1 Ack=1 Win=229 Len=1354 TSval=1455333980 TSecr=1915938712"
"87520","19.197536","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1960736 Ack=1 Win=29312 Len=1374 TSval=1455333980 TSecr=1915938712"
"87521","19.197582","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1962110 Ack=1 Win=29312 Len=1374 TSval=1455333980 TSecr=1915938712"
"87627","19.203919","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=2061038 Ack=1 Win=29312 Len=1374 TSval=1455333991 TSecr=1915938722"
"87833","19.217234","10.5.244.45","222.29.114.58","TCP","1516","33612  >  5233 [ACK] Seq=1 Ack=1 Win=229 Len=1370"
"87969","19.225919","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=2162714 Ack=1 Win=29312 Len=1374 TSval=1455334010 TSecr=1915938741"
